lambda_j,p_jump,lambda_a,alpha,delta0,k0,n,mean0,mean1,median0,median1,sc0,as0,ic0,sc1,as1,ic1,diff_mean,ci_lo,ci_hi,passes
0.5,0.2,4.0,0.1,4.0,5,30,82.36666666666666,-4.366666666666666,140.0,111.0,378.6666666666667,-295.76666666666665,-0.5333333333333333,301.71666666666664,-270.48333333333335,-35.6,-86.73333333333333,-160.60333333333332,-25.633333333333333,False
0.5,0.2,4.0,0.2,4.0,2,30,-174.1,8.966666666666667,1.5,71.0,301.93333333333334,-377.53333333333336,-98.5,158.0,-116.33333333333333,-32.7,183.06666666666666,51.065000000000005,348.4441666666665,False
0.5,0.2,4.0,0.2,4.0,3,30,-54.06666666666667,8.966666666666667,69.5,71.0,357.8,-334.4,-77.46666666666667,158.0,-116.33333333333333,-32.7,63.03333333333333,-30.701666666666664,181.06999999999994,False
0.5,0.2,4.0,0.2,4.0,5,30,51.0,8.966666666666667,113.5,71.0,379.5,-287.73333333333335,-40.766666666666666,158.0,-116.33333333333333,-32.7,-42.03333333333333,-112.76833333333333,44.300833333333316,False
0.5,0.2,4.0,0.3,4.0,2,30,-201.16666666666666,19.2,-9.5,56.0,290.8,-379.7,-112.26666666666667,127.11666666666666,-97.55,-10.366666666666667,220.36666666666667,61.330000000000005,412.5,False
0.5,0.2,4.0,0.3,4.0,3,30,-68.66666666666667,19.2,57.0,56.0,347.5,-338.56666666666666,-77.6,127.11666666666666,-97.55,-10.366666666666667,87.86666666666666,-24.902499999999996,221.5,False
0.5,0.2,4.0,0.3,4.0,5,30,36.3,19.2,110.5,56.0,364.6666666666667,-291.56666666666666,-36.8,127.11666666666666,-97.55,-10.366666666666667,-17.1,-87.73416666666667,63.33749999999994,False
0.5,0.2,4.0,0.4,4.0,2,30,-234.9,-9.966666666666667,-28.0,30.0,266.0,-385.3666666666667,-115.53333333333333,106.71666666666667,-90.45,-26.233333333333334,224.93333333333334,57.59333333333334,429.7675,False
0.5,0.2,4.0,0.4,4.0,3,30,-91.36666666666666,-9.966666666666667,30.5,30.0,311.2,-320.56666666666666,-82.0,106.71666666666667,-90.45,-26.233333333333334,81.4,-27.901666666666664,216.0366666666666,False
0.5,0.2,4.0,0.4,4.0,5,30,13.2,-9.966666666666667,79.5,30.0,324.6666666666667,-271.2,-40.266666666666666,106.71666666666667,-90.45,-26.233333333333334,-23.166666666666668,-88.2,54.568333333333314,False
